0.005	9.481
0.092	9.477
-0.085	9.476
0.003	9.468
0.164	9.462
-0.166	9.459
0.178	9.456
-0.165	9.455
0.003	9.454
0.089	9.449
-0.087	9.449
0.229	9.445
-0.237	9.441
0.167	9.437
-0.173	9.436
0.002	9.425
0.003	9.415
0.242	9.415
-0.252	9.414
0.156	9.413
-0.086	9.412
0.090	9.412
-0.330	9.409
-0.151	9.408
0.331	9.405
0.174	9.400
-0.176	9.399
0.382	9.385
-0.370	9.385
-0.335	9.382
0.330	9.381
0.254	9.376
-0.260	9.372
-0.403	9.367
0.410	9.362
0.005	9.360
0.095	9.357
-0.086	9.357
0.366	9.350
-0.357	9.348
0.181	9.345
0.333	9.345
-0.179	9.343
0.410	9.342
-0.410	9.342
-0.339	9.340
-0.464	9.330
0.258	9.325
-0.262	9.320
0.470	9.319
0.410	9.307
-0.413	9.303
0.334	9.297
-0.341	9.289
-0.485	9.288
0.486	9.281
-0.001	9.267
0.097	9.267
0.007	9.265
0.181	9.264
-0.085	9.263
0.409	9.262
-0.175	9.259
-0.150	9.258
0.480	9.257
-0.480	9.257
0.147	9.256
-0.413	9.254
0.257	9.251
0.564	9.251
-0.256	9.244
-0.567	9.243
0.334	9.229
-0.336	9.220
0.558	9.219
-0.584	9.219
0.586	9.217
0.478	9.216
-0.554	9.216
-0.479	9.211
-0.537	9.206
0.537	9.204
-0.357	9.202
0.355	9.201
0.406	9.195
-0.409	9.189
-0.583	9.183
0.582	9.178
0.541	9.165
-0.539	9.162
0.474	9.158
0.179	9.157
0.011	9.155
-0.477	9.155
0.097	9.155
-0.166	9.154
-0.078	9.153
-0.247	9.152
0.253	9.150
-0.328	9.141
0.329	9.137
-0.402	9.124
0.539	9.118
0.402	9.112
0.598	9.107
-0.536	9.106
-0.595	9.105
0.536	9.102
-0.538	9.093
-0.468	9.091
0.669	9.090
0.469	9.079
0.675	9.074
-0.667	9.071
0.174	9.070
-0.159	9.069
0.095	9.068
-0.074	9.068
0.249	9.068
-0.674	9.067
-0.239	9.065
0.013	9.064
0.324	9.058
